trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",20,0,-7.612088942135959,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",25,0,-76.93075682954724,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",20,0,12.719930294275933,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",30,0,23.1475869068647,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",20,7,-10.263549004407537,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",30,0,-86.53788537303461,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",25,0,11.252988564558237,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",30,0,-14.916102744818662,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",25,0,7.944709552049616,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",20,0,28.22623134934799,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",20,0,18.182107015452253,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",25,0,-4.134807258743994,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",20,10,-39.9490701686524,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",20,0,21.564049996732212,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",25,0,21.760107483246497,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",25,9,29.56636591879031,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",20,0,-10.16659975043189,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",25,10,25.672172846407623,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",20,0,29.50202010602911,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",20,6,20.602916472598622,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,-16.91457910963809,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,6,25.297647811657708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-31.246949615476257,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,7,-10.974799264511828,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,19,-8.888140462671455,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-13.818503566525733,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,27.090682916790165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,16,-26.62982512763793,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,0,-61.61643056275025,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",35,17,7.421389385460415,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
