trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9900498337491681}",20,0,-34.085778197129194,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.9801986733067553}",30,0,-73.30586393809625,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-19.373888296565703,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.9607894391523232}",35,0,-77.71291565788555,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.951229424500714}",25,0,-37.23847033689123,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-58.328728187771624,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9323938199059483}",20,0,19.53577584390127,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.9231163463866358}",25,0,16.474901510124745,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.9139311852712282}",20,0,-3.685896640754468,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.9048374180359595}",35,0,30.68377383299436,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.8958341352965282}",20,0,21.467910686901106,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.8869204367171575}",30,0,16.874422781924917,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.8780954309205613}",20,0,-54.95213166669257,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.6, 'e': 0.8693582353988059}",20,0,21.77827116227162,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.8607079764250578}",20,0,30.740146124922884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
