trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9900498337491681}",25,0,-93.73347758252422,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.9801986733067553}",25,0,-62.320569079494724,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-4.3630184803727,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.9607894391523232}",25,0,-13.886399474546087,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.951229424500714}",30,0,-143.38317606597724,"{0: 24, 1: 0, 2: 1, 3: 2, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.9417645335842487}",30,0,-86.95118297956145,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9323938199059483}",20,6,-14.94766955389593,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.9231163463866358}",25,0,4.714482033878696,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.9139311852712282}",25,0,14.09009973032391,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.9048374180359595}",30,0,36.47009544003037,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.8958341352965282}",30,0,16.259770102602086,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.8869204367171575}",20,0,24.64060775072078,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.8780954309205613}",25,8,29.708639037449366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.8693582353988059}",25,0,-2.2797753553529017,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.8607079764250578}",20,0,26.169088059247887,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.8521437889662113}",30,0,25.02383570163946,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.8436648165963837}",25,0,36.091893426884276,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.835270211411272}",20,2,24.57930557676562,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.8269591339433623}",20,0,22.464535102448835,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.8187307530779818}",20,0,22.687373148159026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.8105842459701871}",30,0,20.933971315667932,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.8025187979624785}",30,0,13.417500658483856,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.794533602503334}",25,1,-4.198020822481726,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.6, 'e': 0.7866278610665535}",20,11,11.425105948602432,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.7788007830714049}",25,8,29.546663454651647,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.6, 'e': 0.7710515858035663}",25,17,12.944472280854454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.7633794943368531}",25,0,31.483333117845035,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.6, 'e': 0.7557837414557255}",30,0,42.33404240230003,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.7482635675785653}",35,6,-21.06563906760547,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 1}",1
30,False,"{'a': 0.6, 'e': 0.7408182206817179}",25,0,33.708147119182044,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.7334469562242892}",25,0,38.62066287615881,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.6, 'e': 0.7261490370736909}",30,13,29.880538684251082,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.6, 'e': 0.7189237334319262}",20,0,32.3700254027463,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.6, 'e': 0.7117703227626098}",20,0,20.22379704106519,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.6, 'e': 0.7046880897187134}",20,0,25.760706117024252,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.6, 'e': 0.697676326071031}",25,0,28.398348775021418,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.6, 'e': 0.6907343306373547}",20,4,24.883548724847028,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.6838614092123558}",25,15,16.936100049264898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.6770568744981647}",20,0,20.53820802220602,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.6, 'e': 0.6703200460356393}",25,0,-4.982996746269759,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
41,False,"{'a': 0.6, 'e': 0.6636502501363194}",20,9,19.034824029897717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.6570468198150569}",20,10,18.071511675688654,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.6505090947233165}",20,0,21.40744688473668,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.6, 'e': 0.6440364210831414}",25,0,18.11812006947642,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.6, 'e': 0.6376281516217733}",20,1,26.082265378735123,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.6, 'e': 0.631283645506926}",20,5,9.53377621570258,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.6250022682827008}",25,0,-6.914309198303885,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.6, 'e': 0.6187833918061408}",25,0,28.48552297593134,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.6, 'e': 0.6126263941844161}",25,3,15.684010401267395,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.6065306597126334}",20,0,32.25579485437855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.6, 'e': 0.600495578812266}",20,5,26.305974473791732,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.5945205479701944}",20,0,25.15785762509131,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.6, 'e': 0.5886049696783552}",25,7,31.942614815222257,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.5827482523739896}",20,0,31.481730810132458,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.6, 'e': 0.5769498103804866}",20,3,0.6504785820343961,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.6, 'e': 0.5712090638488149}",25,16,8.710821835130911,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.5655254386995371}",25,0,36.31680432706075,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.6, 'e': 0.559898366565402}",20,0,22.81612374924936,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.6, 'e': 0.5543272847345071}",25,0,32.98468653699427,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.6, 'e': 0.5488116360940265}",20,0,29.566484009724988,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.5433508690744998}",20,5,26.22734009170127,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.5379444375946745}",20,1,23.436020068843572,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.6, 'e': 0.5325918010068972}",20,0,25.554591427310125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.6, 'e': 0.5272924240430485}",25,0,30.65444487666512,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.6, 'e': 0.522045776761016}",20,0,31.91146070072797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.6, 'e': 0.5168513344916993}",20,12,14.38279504905263,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.5117085777865424}",35,0,25.83156989130892,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.6, 'e': 0.5066169923655897}",20,13,12.883082727172727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.5015760690660556}",20,0,21.997933902397488,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.6, 'e': 0.4965853037914095}",30,3,44.1299485389255,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.6, 'e': 0.49164419746096516}",35,22,-37.226953273580904,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.6, 'e': 0.4867522559599717}",20,3,26.801415968240313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.48190899009020244}",25,15,18.880417541382634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.47711391552103444}",20,0,24.037788340303678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.6, 'e': 0.47236655274101474}",25,0,14.361896898793717,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
76,False,"{'a': 0.6, 'e': 0.46766642700990924}",20,0,28.973521465327014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.6, 'e': 0.46301306831122807}",25,7,30.44993101354295,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.45840601130522357}",20,2,26.0584391193858,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.6, 'e': 0.45384479528235583}",30,13,26.391677100855464,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.44932896411722156}",20,7,21.726695623196317,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.4448580662229411}",35,15,32.67939053237839,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.6, 'e': 0.44043165450599925}",20,13,10.150710818918554,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.43604928632153556}",20,8,23.289366398552286,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.6, 'e': 0.43171052342907973}",20,0,26.66222665562892,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.6, 'e': 0.4274149319487267}",25,14,19.69669748759998,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.4231620823177488}",25,0,36.76158780955709,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.6, 'e': 0.418951549247639}",25,7,26.989577562966357,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.4147829116815814}",25,19,10.230079740509753,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.4106557527523455}",20,5,24.708434022474584,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.4065696597405991}",20,12,17.25745139897872,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.40252422403363597}",25,8,-15.581507953542639,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.6, 'e': 0.3985190410845142}",20,12,17.00956649874026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.6, 'e': 0.39455371037160114}",35,15,5.939508627425354,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.3906278353585211}",20,2,29.701754849753172,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.3867410234545012}",30,19,18.57154725716496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.38289288597511206}",30,22,16.25584441600085,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.6, 'e': 0.37908303810339883}",30,22,17.215479446771113,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.37531109885139957}",20,8,23.452663428550448,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.3715766910220457}",25,0,15.415658347502601,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
100,False,"{'a': 0.6, 'e': 0.36787944117144233}",35,2,53.653085093655534,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.6, 'e': 0.3642189795715233}",25,17,17.112342313557836,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.3605949401730783}",30,16,28.962225807286565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.3570069605691474}",30,17,24.806032843200136,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.6, 'e': 0.35345468195878016}",20,14,14.302337840300734,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.6, 'e': 0.3499377491111554}",30,15,27.68195553839744,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 0.34645581033005746}",20,7,22.044683123420484,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.3430085174187067}",20,8,18.03317685075759,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.6, 'e': 0.33959552564493917}",25,11,25.457422528212284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.6, 'e': 0.33621649370673334}",20,0,30.405211706364565,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.6, 'e': 0.33287108369807955}",25,13,25.045779702360395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.6, 'e': 0.32955896107518906}",25,0,38.05366983328016,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.6, 'e': 0.32627979462303947}",30,12,30.779200055585626,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.3230332564222529}",25,0,-4.27744604960889,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
114,False,"{'a': 0.6, 'e': 0.3198190218163039}",30,16,26.494180001571884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.3166367693790532}",20,6,26.805837105343915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.3134861808826053}",20,3,26.148850028753827,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.31036694126548503}",25,7,31.421974036452784,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.6, 'e': 0.30727873860113125}",35,0,41.80914127956144,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.6, 'e': 0.3042212640667041}",25,0,35.1830628183549,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.6, 'e': 0.30119421191220214}",30,9,29.711731051121287,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.2981972794298874}",20,0,28.844791697056458,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.6, 'e': 0.2952301669240142}",20,5,25.366482076820617,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.6, 'e': 0.2922925776808594}",25,0,16.574499331882812,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
124,False,"{'a': 0.6, 'e': 0.28938421793905067}",20,10,19.80714567533912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.2865047968601901}",30,4,40.571041876678706,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.6, 'e': 0.2836540264997704}",20,9,19.62054867591464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.2808316217783798}",20,0,27.6168789760532,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.6, 'e': 0.27803730045319414}",30,0,42.312580404827955,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.6, 'e': 0.27527078308975234}",30,0,41.11615335029402,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.6, 'e': 0.2725317930340126}",20,3,27.14356827193141,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.26982005638468687}",25,0,39.512731363920715,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.6, 'e': 0.2671353019658504}",20,0,26.572166899950997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.6, 'e': 0.26447726129982396}",30,18,25.67948319401228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.261845668580326}",25,9,27.60932738518975,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.6, 'e': 0.2592402606458915}",20,0,28.437291294598012,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.6, 'e': 0.2566607769535559}",35,24,18.49039029401364,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.25410695955280027}",20,8,21.724925329543787,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.6, 'e': 0.2515785530597565}",20,13,4.295830775867866,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.6, 'e': 0.2490753046316682}",20,9,15.738754589639969,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 0.24659696394160646}",25,15,16.71344103311635,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.2441432831534371}",20,14,11.210011136921594,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.24171401689703648}",30,23,13.86605914155324,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.6, 'e': 0.23930892224375455}",25,18,13.840705473503208,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.6, 'e': 0.2369277586821218}",20,12,16.359187806318022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.6, 'e': 0.23457028809379768}",30,11,30.092639885971145,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.23223627472975886}",35,24,22.090880096186567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.6, 'e': 0.22992548518672387}",30,7,40.333858908316884,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.6, 'e': 0.22763768838381276}",25,13,22.50043166677667,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.22537265553943875}",20,9,20.77958635579362,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.6, 'e': 0.22313016014842985}",25,11,16.552068895571026,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.22090997795937822}",20,12,16.02821232833132,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.6, 'e': 0.21871188695221477}",25,0,40.24828845862776,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.6, 'e': 0.21653566731600707}",30,22,17.150279906602478,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.21438110142697797}",25,20,12.022386418360758,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.21224797382674307}",20,1,27.79319481799593,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.21013607120076475}",25,20,8.905576754151852,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.20804518235702046}",30,8,37.334654923614664,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.6, 'e': 0.20597509820488347}",25,14,20.707164770286564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.6, 'e': 0.20392561173421345}",20,16,6.517185776297606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
