trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,13,2.32738176247363,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.89497817141673,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,9,-69.99076310625259,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.82269104108885,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.20526337286344,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.69014382648787,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.8343004974344,"{0: 10, 1: 5, 2: 2, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,1,-85.88221867953902,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.60196841169874,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.63753328249482,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.3542089220011,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.15480342032984,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.8839788101577,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.83251590903424,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.67243224020061,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-89.25742824555104,"{0: 27, 1: 3, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.24127325576407,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.65434745622505,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.97402227696742,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.84773657263372,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-218.86676069838927,"{0: 12, 1: 5, 2: 3, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.4169926525967,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-111.21242878081301,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,9,16.645252723551113,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.42226860247405,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.3122691662715,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.42825413975763,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-249.06070678428742,"{0: 21, 1: 3, 2: 4, 3: 3, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-67.2370098606444,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.65035021629575,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
